name,value
Cat,5969
Bird,2290
Dog,1622
Fox,651
Unknown,400
Horse,224
Deer,201
Squirrel,100
Hamster,23
Rabbit,21
Snake,20
Cow,12
Ferret,12
Sheep,9
Lizard,6
Hedgehog,6
Fish,4
Goat,4
Rat,2
Seal,2
Bear,1
Dolphin,1
Pig,1
Tortoise,1
